Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 19081 ms'),1,2026-05-12T04:45:00Z,2026-05-12T04:45:00Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 7087 ms'),1,2026-05-12T04:45:33Z,2026-05-12T04:45:33Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 7009 ms'),1,2026-05-12T04:45:33Z,2026-05-12T04:45:33Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 9927 ms'),1,2026-05-12T04:44:50Z,2026-05-12T04:44:50Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 9713 ms'),1,2026-05-12T04:45:30Z,2026-05-12T04:45:30Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 7527 ms'),1,2026-05-12T04:45:32Z,2026-05-12T04:45:32Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 7325 ms'),1,2026-05-12T04:45:33Z,2026-05-12T04:45:33Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 9959 ms'),1,2026-05-12T04:45:29Z,2026-05-12T04:45:29Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 17728 ms'),1,2026-05-12T04:44:57Z,2026-05-12T04:44:57Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 8606 ms'),1,2026-05-12T04:45:32Z,2026-05-12T04:45:32Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 17482 ms'),1,2026-05-12T04:44:57Z,2026-05-12T04:44:57Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 7747 ms'),1,2026-05-12T04:45:16Z,2026-05-12T04:45:16Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 8913 ms'),1,2026-05-12T04:45:14Z,2026-05-12T04:45:14Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 4947 ms'),1,2026-05-12T04:44:57Z,2026-05-12T04:44:57Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 26119 ms'),1,2026-05-12T04:45:06Z,2026-05-12T04:45:06Z
